"","ceRNA","log_rank_p","cancer","sur_sig"
"242","DLX6-AS1-MIR103A2-FURIN",0.551598938388145,"BRCA","no_sig"
"243","DLX6-AS1-MIR103A2-NFATC3",0.136295395948802,"BRCA","no_sig"
"244","DLX6-AS1-MIR149-BID",0.118039281789505,"BRCA","no_sig"
"245","DLX6-AS1-MIR149-CALR",0.601358953326545,"BRCA","no_sig"
"246","DLX6-AS1-MIR149-FASLG",0.00113135340113268,"BRCA","sig"
"247","DLX6-AS1-MIR149-GLP2R",0.097187144512199,"BRCA","no_sig"
"248","DLX6-AS1-MIR149-GPI",0.0772829980912861,"BRCA","no_sig"
"249","DLX6-AS1-MIR149-HLA-A",0.111891020590943,"BRCA","no_sig"
"250","DLX6-AS1-MIR149-PLCG2",0.0554845675541578,"BRCA","no_sig"
"251","DLX6-AS1-MIR149-S1PR2",0.0250915087648292,"BRCA","sig"
"252","DLX6-AS1-MIR149-ULBP3",0.721524470708325,"BRCA","no_sig"
"253","DLX6-AS1-MIR331-GPI",0.218185723884671,"BRCA","no_sig"
"254","DLX6-AS1-MIR331-SOCS1",0.0462551863504046,"BRCA","sig"
"255","FAM198B-AS1-MIR140-STC2",0.0027366192394882,"BRCA","sig"
"256","H19-MIR331-PSMC4",0.40854375236113,"BRCA","no_sig"
"257","HCG11-MIR26B-BMPR1A",0.562546157964429,"BRCA","no_sig"
"258","HCG11-MIR26B-CMTM6",0.195634538640803,"BRCA","no_sig"
"259","HCG11-MIR26B-ERAP1",0.307616519632142,"BRCA","no_sig"
"260","HCG11-MIR26B-NCK1",0.284486594346396,"BRCA","no_sig"
"261","HCG11-MIR26B-PPP3R1",0.300035781392813,"BRCA","no_sig"
"262","HCG11-MIR26B-PSMD5",0.810127704487989,"BRCA","no_sig"
"263","HCG11-MIR26B-PSMD7",0.0184767633301872,"BRCA","sig"
"264","HCG18-MIR193A-GDF11",0.38456431601439,"BRCA","no_sig"
"265","HCG18-MIR193A-HMGB1",0.850710335984379,"BRCA","no_sig"
"266","HCG18-MIR193A-KRAS",0.38104296193486,"BRCA","no_sig"
"267","HCG18-MIR193A-MAPK8",0.357395690822743,"BRCA","no_sig"
"268","HCG18-MIR193A-MAVS",0.0128624545197735,"BRCA","sig"
"269","HCG18-MIR193A-PTK2",0.0131064282212631,"BRCA","sig"
"270","HCG18-MIR193A-SEMA3D",0.252383151422933,"BRCA","no_sig"
"271","HCG18-MIR193A-TCF7L2",0.134851637589442,"BRCA","no_sig"
