gene	p.value	fdr	ratio	test_type
ANO5	1.22671017775528e-06	1.09644491403826e-05	0.195271946305759	t_test
ANO6	0.0165533944017363	0.031575800640944	0.601280894226852	t_test
ANO7	2.70528662180633e-05	0.00013323578181029	2.6371203132388	t_test
ANO8	0.000239912309984425	0.000848000591047726	2.04900322854981	t_test
ANO9	0.00857928583391637	0.0181435253067226	2.02494219760587	t_test
ANP32E	0.00332302587599338	0.00805914235603358	1.58087296035009	t_test
ANPEP	0.0112076392898195	0.0226956819887095	1.82115994576503	t_test
ANTKMT	0.00011407328161473	0.000451392200285842	1.69768895920533	t_test
ANTXR2	7.00180031310239e-06	4.4177500715661e-05	0.190071594943635	t_test
ANXA1	0.0082891692747272	0.0176019910953727	0.465343708652644	t_test
ANXA4	0.00202023884771759	0.00524398247060611	1.51294142124381	t_test
ANXA6	6.54713094108062e-07	6.71730604748771e-06	0.211615389143712	t_test
AOC3	3.12054377867504e-08	6.28264253731737e-07	0.0900370246985848	t_test
AOPEP	2.6365347062582e-06	1.99495303127922e-05	0.601975234884654	t_test
AOX1	6.22433218375264e-12	8.5257391091299e-10	0.0882752509562088	t_test
AP000812.4	0.0097039800989086	0.0201263084075462	2.38785839156941	t_test
AP000944.5	0.000295684106344289	0.00101317799620987	0.489107766282141	t_test
AP001453.3	0.00015840195786707	0.00059688449959503	2.2521092739626	t_test
AP002990.1	0.000230406187368994	0.000819097062727485	1.85929252183349	t_test
AP003071.5	4.72770146791492e-05	0.000214878456394794	0.466830138383021	t_test
AP003108.2	1.31770813505438e-06	1.15776264102968e-05	2.90795060144576	t_test
AP006621.6	7.70374014398189e-06	4.77786917753304e-05	2.91885707947062	t_test
AP1B1	0.000517268098485102	0.00163634791676317	1.51398164812175	t_test
AP1G2	0.00447347425283956	0.010379600170263	1.81527354088838	t_test
AP1M2	0.00942236717670021	0.0196362622072559	2.20381106111457	t_test
AP1S1	1.51160952540328e-05	8.296251456888e-05	2.02774158392971	t_test
AP1S2	0.000647997486426298	0.00198866482525237	0.57445719035579	t_test
AP2S1	2.37303246222153e-05	0.000119591881256485	1.81371303810669	t_test
AP4M1	7.19789910043678e-06	4.51835217327066e-05	1.55964685719573	t_test
AP5S1	0.000130064334637022	0.000504455718028293	1.55107961155723	t_test
AP5Z1	5.24507540335487e-07	5.64903080740357e-06	1.88992847242093	t_test
APBA3	9.03477516847511e-06	5.42899538245152e-05	1.55054095697795	t_test
APBB1	2.23129396810157e-08	4.87175982735637e-07	0.261400120676212	t_test
APCDD1	1.21585628538171e-06	1.08978259672971e-05	0.583635366645162	t_test
APEX2	1.37343118938589e-06	1.19374156806016e-05	1.8970496574025	t_test
APH1A	0.000351699279946485	0.00117669115970668	1.72524028444571	t_test
APLN	7.42869121010324e-05	0.000313295277192407	4.77367545707901	t_test
APMAP	0.000195070793303967	0.000712901473826421	1.77738821954303	t_test
APOB	0.00438812995994497	0.0102037392249098	0.642408603430876	t_test
APOBEC2	7.22001559380162e-08	1.20278554996117e-06	0.347912768312874	t_test
APOBEC3B	0.00040269472878578	0.00131786516714742	3.90443459979333	t_test
APOBEC3H	0.0227245053040325	0.0415212543612388	2.03559708511764	t_test
APOC1	3.45275398719716e-07	4.07465650948613e-06	5.78011975179693	t_test
APOD	7.93018652074325e-10	3.73791674063033e-08	0.409639143346166	t_test
APOL1	0.0247123675004325	0.0445539882508641	2.19227472464874	t_test
APOL2	0.00067458747802456	0.00206079659222676	1.88023323391718	t_test
APOL6	0.00407457162044091	0.00957183887264526	1.8116180277254	t_test
APOLD1	5.7463784886475e-09	1.75078824446891e-07	0.198849926181529	t_test
APOO	2.73092986092338e-06	2.05280872191173e-05	1.67702642483764	t_test
APRT	0.00051679739633548	0.00163518165324233	1.65265764787171	t_test
AQP1	1.04854648394905e-10	7.49595643658612e-09	0.193759614894673	t_test
AQP11	0.00730819216382021	0.0158514606138522	1.62471148378357	t_test
AQP7	1.34347257132846e-06	1.17652958623551e-05	0.597621178717212	t_test
AR	5.66531633748407e-17	4.75280079470728e-14	0.442206454425836	t_test
ARC	1.2041557646725e-07	1.80016793700014e-06	0.259778405010837	t_test
AREG	0.00803873851290647	0.0171497368753779	0.359043519713609	t_test
AREL1	0.000156531218880977	0.000590795146702655	1.54757706168105	t_test
ARF5	1.24400936660943e-05	7.08979164625989e-05	1.56012813738464	t_test
ARFGAP1	1.36483506069544e-06	1.18938807410034e-05	1.77867266481657	t_test
ARG2	0.00453698735251081	0.0105071906519275	0.371646368519592	t_test
ARHGAP1	0.000705829209662821	0.00214039783736002	0.499753142019846	t_test
ARHGAP10	3.13918712219211e-05	0.000151852136493362	0.366728385207283	t_test
ARHGAP11A	4.33724846016721e-06	2.99219732340248e-05	2.88217264270052	t_test
ARHGAP11B	1.83463090219626e-07	2.51727695535935e-06	4.9568438085505	t_test
ARHGAP15	2.90124865904349e-05	0.000141667918981813	0.57592937864921	t_test
ARHGAP20	1.30379930802314e-07	1.9159825222706e-06	0.110705559684633	t_test
ARHGAP24	2.33127621799021e-05	0.000117783835654197	0.266554341639703	t_test
ARHGAP28	0.000538683166289311	0.0016957250879891	0.475714316534775	t_test
ARHGAP31	4.3384712631636e-05	0.000200312130404667	0.586113792483348	t_test
ARHGAP32	0.0274080760085518	0.048723441609878	1.57736759437707	t_test
ARHGAP33	0.000112504689935801	0.000445845737119472	2.03224421135959	t_test
ARHGAP39	1.58261184960507e-10	1.01292532173547e-08	3.50406892895757	t_test
ARHGAP40	0.00513125474773889	0.0116709464358875	3.04062724094241	t_test
ARHGAP6	5.79707086842988e-11	4.91627092053755e-09	0.253986633946406	t_test
ARHGAP8	0.00408583242379432	0.00959126269572693	2.63895714554606	t_test
ARHGEF15	7.89634179080934e-06	4.86873090959592e-05	0.444474419429297	t_test
ARHGEF17	0.00106103337140182	0.00302564427225721	0.42580206785475	t_test
ARHGEF19	0.00261904590840283	0.00655211203997249	2.08211357323462	t_test
ARHGEF25	2.83322317785723e-05	0.000138726656426336	0.174533811807892	t_test
ARHGEF26	1.61341407526521e-06	1.35516635063943e-05	0.293523403081012	t_test
ARHGEF35	0.0225127235078598	0.0412094696672714	1.87667504092604	t_test
ARHGEF37	0.000168007899908648	0.000628206860461033	0.269882971188966	t_test
ARHGEF38	0.0120786300833298	0.0241412212889806	3.22978019457368	t_test
ARHGEF39	1.91177334744323e-08	4.36405670737695e-07	3.99642276040706	t_test
ARHGEF6	5.9799699948881e-07	6.25963416969802e-06	0.562598333043053	t_test
ARHGEF9	0.000412714154333974	0.00134653034148133	0.389920031891844	t_test
ARID3A	2.59353826721131e-06	1.97567482506278e-05	3.95175903917767	t_test
ARID3B	0.0103722145488919	0.0212863504111334	1.53545824765024	t_test
ARID4A	0.00166672564273191	0.00444414059967937	0.631704969399897	t_test
ARID5A	7.49921427155798e-05	0.000315605062804591	0.26008563881771	t_test
ARID5B	2.6308922262598e-05	0.000130420408910118	0.291640181664713	t_test
ARL16	6.30352493006705e-05	0.00027310162349082	1.62981075471517	t_test
ARL4D	7.22413695441569e-07	7.24946893121264e-06	0.541011027614519	t_test
ARL6IP1	2.63510813857692e-05	0.00013058207491909	2.06153931735466	t_test
ARL6IP4	0.00122395175463292	0.00341368792546939	1.90131560325991	t_test
ARL6IP6	0.00113987604328619	0.00321500413053582	1.62753675367768	t_test
ARMC4	4.8336729396288e-07	5.30128628130099e-06	0.221061396279988	t_test
ARMC6	2.10425413483751e-05	0.000108538064901532	1.69627762034678	t_test
ARMC7	0.00302754586483643	0.00743821095046278	1.60252746031815	t_test
ARMCX1	9.78027171245736e-07	9.13223237866721e-06	0.298397869970227	t_test
ARMCX4	0.000253060422097673	0.000888205502526786	0.654903296995737	t_test
ARNT2	0.000397525098563182	0.00130227662092673	0.519932451632004	t_test
ARNTL2	0.00091394839908099	0.00266841629507596	2.48839526123124	t_test
ARPC1A	9.17322990276516e-08	1.44410788233511e-06	1.9628574560558	t_test
ARPC1B	0.000214726013804018	0.00077105066036818	1.89713443317644	t_test
ARPC3	1.0953996492083e-05	6.3882368188545e-05	1.72526977058674	t_test
ARPC5	1.82311572609623e-07	2.5118279836755e-06	1.61514560737706	t_test
ARPC5L	0.00041858984184004	0.00136292580360189	1.59826899627003	t_test
ARRB1	1.97027083530183e-05	0.000102919036527207	0.656285016908231	t_test
ARRDC1	0.000602664913770426	0.0018692293222537	1.84487652867108	t_test
ARRDC4	6.49568276673678e-05	0.000279639099575905	0.399775359842393	t_test
ARSF	0.0232016057580052	0.0422676973829478	0.128954585379468	t_test
ART4	0.000384585678800072	0.0012682398286675	2.09136821490724	t_test
ARTN	0.00197740125534387	0.00515213852553949	2.788385285145	t_test
ARVCF	0.000451850710790785	0.00145496473601228	2.04239839758749	t_test
ASB1	0.00116733131268269	0.00328089295283284	0.518622567750283	t_test
ASB12	1.82141647298026e-06	1.49156976985087e-05	0.415184783258808	t_test
ASB2	4.50417242804658e-08	8.25902372218244e-07	0.0904059767234744	t_test
ASCC2	0.00765910834382159	0.0164647713371006	1.50042922006796	t_test
ASF1B	4.7216967106946e-06	3.21043324079727e-05	4.77253686487699	t_test
ASGR1	0.0146915638367188	0.0285979596802206	1.82225402737478	t_test
ASIC3	0.000350082645079293	0.00117225751567922	2.5046527846282	t_test
ASL	0.000124208565809969	0.000485978143474258	1.63146618695332	t_test
ASMT	0.00761990704228512	0.0164047058382135	0.601605255842451	t_test
ASNS	0.000645097071391956	0.00198090164133502	2.20391530429658	t_test
ASPA	3.23407615350839e-17	3.60023753722609e-14	0.103530137227364	t_test
ASPG	0.000749891071954948	0.00225135899571937	0.618134120951177	t_test
ASPHD1	0.00704769828446507	0.0153836029292886	2.02311297213294	t_test
ASPHD2	0.00155588504195182	0.0041921004845864	1.96299274962879	t_test
ASPM	7.89893894874227e-06	4.86873090959592e-05	5.4714167532194	t_test
ASPSCR1	2.60921612928224e-06	1.98176766293257e-05	2.23496666429343	t_test
ASXL3	2.3439037367857e-06	1.82833708366949e-05	0.337598178431075	t_test
ATAD2	3.11659645215936e-08	6.28258801790011e-07	2.99289301518973	t_test
ATAD3A	4.63170777241225e-07	5.13331595855316e-06	2.13755944606828	t_test
ATAD3B	7.11620223277511e-05	0.0003021039920065	2.02031238723105	t_test
ATAD3C	0.0260993201589079	0.0467370488143813	2.03582274640605	t_test
ATAD5	1.1811949992316e-08	3.01430430854867e-07	3.60393879852429	t_test
ATAT1	1.3611927563574e-05	7.63812153829961e-05	2.12641263806443	t_test
ATE1	0.000350685977662805	0.00117403247921958	0.592343884229551	t_test
ATF3	5.29624057075121e-08	9.45176589973724e-07	0.119807355586002	t_test
ATF5	4.80314668142478e-05	0.000217751707826064	1.75947135444239	t_test
ATF7-NPFF	0.00942559743342348	0.0196404400556553	1.90220336038508	t_test
ATG9B	0.0018208432998849	0.0048034295841902	3.16426513218235	t_test
ATL1	9.38909277018141e-05	0.000383069248306841	0.418242996685912	t_test
ATOH7	0.0179296758918707	0.0338366681397927	3.02553216894357	t_test
ATOH8	1.40683086122934e-07	2.03666408148702e-06	0.452035025863017	t_test
ATP11A	0.00483539964534604	0.0111095237911898	1.97158548148041	t_test
ATP13A1	8.84726880533416e-06	5.33031315316862e-05	1.82593636254612	t_test
ATP13A2	1.02486873282709e-06	9.49944841659167e-06	2.17361533971456	t_test
ATP1A2	2.21866604460021e-10	1.36231195520165e-08	0.0453656715857807	t_test
ATP1A3	0.00606286062469366	0.0134762003288961	4.35863226780604	t_test
ATP1B2	5.53025861117793e-11	4.81673502732269e-09	0.17687525198162	t_test
ATP2B4	0.000163565010500868	0.000613696090146715	0.261071116465406	t_test
ATP2C1	0.000232318750281715	0.000824798469653249	1.57672463359165	t_test
ATP5IF1	1.54618534426344e-05	8.44264610806331e-05	1.73707996034594	t_test
ATP5ME	0.000384683584782941	0.0012682398286675	1.72736075094879	t_test
ATP5MF	5.70545096633187e-08	9.9820477277767e-07	2.2749354857634	t_test
ATP6AP1	0.000133258101290682	0.000515346122414208	1.66895362761075	t_test
ATP6V0A4	0.00354228884132021	0.00851615976162581	7.47143250502508	t_test
ATP6V0B	2.85548717692043e-06	2.12846686034078e-05	1.95233227453471	t_test
ATP6V1A	0.000776180163479878	0.00231942258063183	1.53543067096646	t_test
ATP6V1C2	0.0102546227644737	0.0210963523008287	1.82071888023565	t_test
ATP6V1F	9.62765967912659e-07	9.02297508875338e-06	1.62996914775627	t_test
ATP8A1	6.89517929845402e-09	1.99462352774412e-07	0.627402156484911	t_test
ATP8B2	4.21317835090902e-06	2.92549377173605e-05	0.39392785693565	t_test
ATP8B4	7.59394429932527e-08	1.24949231356249e-06	0.462985984625279	t_test
