lnc	p.value	fdr	ratio	test_type
AL451050.2	0.000189221015411349	0.00132523112514132	3.81318060934146	t_test
AL451085.2	0.00654854174155658	0.0211945575682705	2.02222427077509	t_test
AL512329.2	3.31922754983393e-09	2.82868065784641e-07	0.288792849861723	t_test
AL512363.1	0.0127341257375188	0.0356006262105661	3.95765710487082	t_test
AL512598.1	9.9480311328981e-06	0.000132086257036809	0.58186924323545	t_test
AL512598.2	2.84798098883569e-05	0.000293496952949887	0.454542231402542	t_test
AL512625.2	0.00272115813909913	0.0104803948344037	2.75479468115942	t_test
AL512625.3	0.00154277942243849	0.00675531683105068	2.29054427619612	t_test
AL512652.1	0.0041396820484518	0.0146811186253949	2.27406254802399	t_test
AL512770.1	0.00841151867116223	0.0257041817457476	1.72978534950306	t_test
AL513217.1	7.93454452679267e-07	1.93492902668221e-05	0.0910225143309147	t_test
AL513320.1	0.000606830530433348	0.00326764571471118	2.78267033995001	t_test
AL513327.2	0.00455404932806222	0.0158650968812125	3.08102838867432	t_test
AL583785.1	6.58077692195246e-08	2.81886148848155e-06	0.397916331007225	t_test
AL583856.2	0.00016724525250173	0.00119859321402751	0.539664709459744	t_test
AL589765.4	8.00124318311176e-06	0.000111654741983027	3.29301933385473	t_test
AL589843.1	8.02535227618325e-10	8.78508562499526e-08	0.411870224622278	t_test
AL590004.3	0.00141517568031561	0.00634318052887596	0.532659770893248	t_test
AL590064.1	0.00697947808494468	0.0222567718085259	1.92897762617802	t_test
AL590226.1	1.12575346483108e-06	2.54378970998069e-05	0.360412826736037	t_test
AL590428.1	0.000212592770512786	0.00143064479172949	0.436719820893309	t_test
AL590617.2	0.000100112093835885	0.000819189658198618	2.26626738623054	t_test
AL590652.1	0.00323540547631729	0.012019311746862	2.19342959299534	t_test
AL590714.1	0.0187933296055947	0.0488012343896467	2.1308632932883	t_test
AL591043.2	0.0053971036977484	0.0181475309318148	2.53370223351894	t_test
AL592166.1	0.0132129152943888	0.0366067608212371	2.55688493639467	t_test
AL592295.3	0.0167929161080006	0.0443787042639543	5.98845308255133	t_test
AL596094.1	0.00790774136551896	0.024483679425862	2.32361631172818	t_test
AL596214.1	5.4524340731968e-05	0.0005020315933564	3.25150012902534	t_test
AL596244.1	0.00748100391376005	0.023487205404195	0.506223488223541	t_test
AL603832.1	0.000752729801772543	0.00385842560200993	3.41820983244094	t_test
AL603839.3	0.00166923920557571	0.00713773639467531	2.15957864449763	t_test
AL627095.2	0.000553536196234038	0.00304661374597639	0.569349517317247	t_test
AL627171.2	0.000350146047473902	0.00210858121009345	0.654579592078423	t_test
AL645608.1	0.00927419902931591	0.0277840320857379	2.89610074669839	t_test
AL645608.8	0.00624316222803509	0.0204484339766001	4.43549407963164	t_test
AL645940.1	0.00102711701572146	0.00493617406775018	3.18731212485594	t_test
AL662797.1	0.0114380428391546	0.0328535271286737	2.35507208419774	t_test
